OrdreBarris,AbreviacioBarri,CodiDistricte,NomDistricte,CodiBarri,NomBarri,IndexAtur,PtgAturats,IndexEstrangersTots,PtgEstrangersTots,IndexRenda,Renda,IndexSenseEstudis,PtgSenseEstudis,IndexEstrangers,PtgEstrangers
1,Barcelona,0,Mitjana ciutat,0,Barcelona,100.00,"4,53",100.00,"17,76",100.00,100,100.00,"2,84",100.00,"12,09"
2,Raval,1,Ciutat Vella,1,el Raval,158.58,"7,20",279.43,"49,64",74.60,"74,60",77.66,"2,21",325.87,"39,41"
3,Gòtic,1,Ciutat Vella,2,el Barri Gòtic,124.30,"5,64",260.47,"46,27",110.50,"110,50",69.96,"1,99",204.50,"24,73"
4,Barceloneta,1,Ciutat Vella,3,la Barceloneta,150.75,"6,84",195.57,"34,74",84.80,"84,80",143.91,"4,09",143.64,"17,37"
5,La Ribera,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",136.90,"6,21",234.32,"41,62",97.80,"97,80",74.56,"2,12",177.21,"21,43"
6,Fort Pienc,2,Eixample,5,el Fort Pienc,86.16,"3,91",123.40,"21,92",105.00,"105,00",61.72,"1,76",110.00,"13,30"
7,Sagrada Família,2,Eixample,6,la Sagrada Família,86.70,"3,93",108.38,"19,25",95.90,"95,90",77.98,"2,22",107.06,"12,95"
8,Dreta Eixample,2,Eixample,7,la Dreta de l'Eixample,66.64,"3,02",121.15,"21,52",170.00,"170,00",39.60,"1,13",89.13,"10,78"
9,Antiga E Eixample,2,Eixample,8,l'Antiga Esquerra de l'Eixample,75.89,"3,44",117.65,"20,90",139.20,"139,20",48.50,"1,38",101.43,"12,26"
10,Nova E Eixample,2,Eixample,9,la Nova Esquerra de l'Eixample,82.99,"3,77",101.69,"18,06",105.30,"105,30",52.73,"1,50",99.11,"11,98"
11,St Antoni,2,Eixample,10,Sant Antoni,91.79,"4,17",120.21,"21,35",104.00,"104,00",81.87,"2,33",113.22,"13,69"
12,Poble Sec,3,Sants-Montjuïc,11,el Poble Sec,126.63,"5,75",172.71,"30,68",76.10,"76,10",102.38,"2,91",179.79,"21,74"
13,Marina P. Vermell,3,Sants-Montjuïc,12,la Marina del Prat Vermell,220.18,"9,99",46.95,"8,34",49.70,"49,70",206.36,"5,87",62.51,"7,56"
14,Marina Port,3,Sants-Montjuïc,13,la Marina de Port,124.36,"5,64",79.00,"14,03",68.30,"68,30",134.40,"3,82",95.65,"11,57"
15,Font de la Guatlla,3,Sants-Montjuïc,14,la Font de la Guatlla,123.49,"5,60",109.17,"19,39",84.90,"84,90",111.95,"3,18",107.12,"12,95"
16,Hostafrancs,3,Sants-Montjuïc,15,Hostafrancs,98.79,"4,48",124.46,"22,11",84.60,"84,60",90.97,"2,59",130.09,"15,73"
17,Bordeta,3,Sants-Montjuïc,16,la Bordeta,99.73,"4,53",74.01,"13,15",73.60,"73,60",114.96,"3,27",83.00,"10,04"
18,Sants - Badal,3,Sants-Montjuïc,17,Sants - Badal,80.74,"3,66",96.43,"17,13",74.50,"74,50",124.38,"3,54",112.49,"13,60"
19,Sants,3,Sants-Montjuïc,18,Sants,90.89,"4,12",95.62,"16,98",92.30,"92,30",98.04,"2,79",99.39,"12,02"
20,Les Corts,4,Les Corts,19,les Corts,82.93,"3,76",62.32,"11,07",119.90,"119,90",58.33,"1,66",60.84,"7,36"
21,Maternitat,4,Les Corts,20,la Maternitat i Sant Ramon,80.04,"3,63",63.50,"11,28",114.30,"114,30",85.52,"2,43",67.90,"8,21"
22,Pedralbes,4,Les Corts,21,Pedralbes,39.47,"1,79",98.40,"17,48",242.40,"242,40",16.60,"0,47",73.98,"8,95"
23,Vallvidrera,5,Sarrià-St Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",42.30,"1,92",80.32,"14,27",130.80,"130,80",60.49,"1,72",41.62,"5,03"
24,Sarrià,5,Sarrià-St Gervasi,23,Sarrià,41.17,"1,87",71.33,"12,67",186.60,"186,60",36.47,"1,04",46.58,"5,63"
25,Tres Torres,5,Sarrià-St Gervasi,24,les Tres Torres,46.16,"2,09",53.32,"9,47",211.00,"211,00",15.69,"0,45",42.39,"5,13"
26,St Gerv-Bonanova,5,Sarrià-St Gervasi,25,Sant Gervasi - la Bonanova,50.18,"2,28",65.23,"11,59",187.50,"187,50",26.78,"0,76",57.04,"6,90"
27,St Gerv-Galvany,5,Sarrià-St Gervasi,26,Sant Gervasi - Galvany,48.83,"2,22",69.86,"12,41",198.30,"198,30",20.47,"0,58",55.47,"6,71"
28,Putxet i Farró,5,Sarrià-St Gervasi,27,el Putxet i el Farró,71.13,"3,23",72.99,"12,97",140.60,"140,60",29.65,"0,84",56.71,"6,86"
29,Vallcarca,6,Gràcia,28,Vallcarca i els Penitents,86.09,"3,91",75.75,"13,46",112.90,"112,90",76.01,"2,16",64.24,"7,77"
30,El Coll,6,Gràcia,29,el Coll,75.36,"3,42",80.72,"14,34",84.40,"84,40",103.16,"2,93",71.59,"8,66"
31,La Salut,6,Gràcia,30,la Salut,87.60,"3,98",72.00,"12,79",116.40,"116,40",60.25,"1,71",60.55,"7,32"
32,Vila de Gràcia,6,Gràcia,31,la Vila de Gràcia,90.17,"4,09",115.10,"20,45",101.50,"101,50",70.86,"2,02",83.84,"10,14"
33,Camp Grassot,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,83.85,"3,80",76.14,"13,53",108.10,"108,10",65.27,"1,86",64.35,"7,78"
34,Baix Guinardó,7,Horta-Guinardó,33,el Baix Guinardó,87.00,"3,95",76.24,"13,54",92.00,"92,00",105.31,"3,00",74.84,"9,05"
35,Can Baró,7,Horta-Guinardó,34,Can Baró,92.11,"4,18",79.20,"14,07",96.00,"96,00",137.00,"3,90",75.91,"9,18"
36,Guinardó,7,Horta-Guinardó,35,el Guinardó,97.71,"4,43",77.98,"13,85",80.10,"80,10",93.05,"2,65",82.23,"9,94"
37,Font d'en Fargues,7,Horta-Guinardó,36,la Font d'en Fargues,117.81,"5,35",32.43,"5,76",94.80,"94,80",79.85,"2,27",30.65,"3,71"
